RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Mauritius,2003,1643
Africa,Eastern Africa,Uganda,2003,5716
Africa,Eastern Africa,Zimbabwe,2003,71941
Africa,Northern Africa,Morocco,2003,2908
Africa,Southern Africa,Eswatini,2003,8470
Americas,Northern America,Bermuda,2003,936
Americas,Northern America,Canada,2003,284925
Americas,Northern America,United States of America,2003,2154834
Americas,South America,Ecuador,2003,10224
Americas,South America,Suriname,2003,2476
Americas,South America,Uruguay,2003,9741
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2003,9076
Asia,Eastern Asia,Japan,2003,333233
Asia,South-Eastern Asia,Brunei Darussalam,2003,336
Asia,South-Eastern Asia,Singapore,2003,1337
Asia,Southern Asia,Sri Lanka,2003,16768
Asia,Western Asia,Azerbaijan,2003,757
Asia,Western Asia,Cyprus,2003,3155
Asia,Western Asia,Qatar,2003,264
Asia,Western Asia,State of Palestine,2003,62
Asia,Western Asia,Turkey,2003,65721
Asia,Western Asia,United Arab Emirates,2003,1882
Europe,Eastern Europe,Bulgaria,2003,28210
Europe,Eastern Europe,Czech Republic,2003,68901
Europe,Eastern Europe,Hungary,2003,46971
Europe,Eastern Europe,Poland,2003,294654
Europe,Eastern Europe,Romania,2003,12479
Europe,Eastern Europe,Slovakia,2003,21783
Europe,Northern Europe,Denmark,2003,100991
Europe,Northern Europe,Finland,2003,27723
Europe,Northern Europe,Iceland,2003,2889
Europe,Northern Europe,Ireland,2003,25160
Europe,Northern Europe,Latvia,2003,7438
Europe,Northern Europe,Norway,2003,30755
Europe,Northern Europe,Sweden,2003,122700
Europe,Northern Europe,United Kingdom (England and Wales),2003,820013
Europe,Northern Europe,United Kingdom (Northern Ireland),2003,17109
Europe,Northern Europe,United Kingdom (Scotland),2003,36746
Europe,Southern Europe,Croatia,2003,23483
Europe,Southern Europe,Greece,2003,31181
Europe,Southern Europe,Italy,2003,173097
Europe,Southern Europe,Malta,2003,682
Europe,Southern Europe,Montenegro,2003,2319
Europe,Southern Europe,Portugal,2003,46929
Europe,Southern Europe,Slovenia,2003,16947
Europe,Western Europe,Belgium,2003,97007
Europe,Western Europe,France,2003,407585
Europe,Western Europe,Germany,2003,437097
Europe,Western Europe,Liechtenstein,2003,127
Europe,Western Europe,Monaco,2003,133
Europe,Western Europe,Switzerland,2003,68551
Oceania,Australia and New Zealand,Australia,2003,354020
Africa,Eastern Africa,Kenya,2004,2833
Africa,Eastern Africa,Mauritius,2004,2057
Africa,Eastern Africa,Mozambique,2004,5537
Africa,Eastern Africa,Uganda,2004,6977
Africa,Eastern Africa,Zimbabwe,2004,67559
Africa,Northern Africa,Morocco,2004,2832
Africa,Southern Africa,Eswatini,2004,8352
Americas,Caribbean,Barbados,2004,2179
Americas,Caribbean,St. Vincent and the Grenadines,2004,1563
Americas,Caribbean,Trinidad and Tobago,2004,5214
Americas,Central America,Guatemala,2004,1129
Americas,Central America,Mexico,2004,141885
Americas,Northern America,Bermuda,2004,820
Americas,Northern America,Canada,2004,275869
Americas,Northern America,United States of America,2004,2144446
Americas,South America,Ecuador,2004,10434
Americas,South America,Peru,2004,8861
Americas,South America,Suriname,2004,2183
Americas,South America,Uruguay,2004,8372
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2004,7002
Asia,Eastern Asia,Japan,2004,290595
Asia,South-Eastern Asia,Brunei Darussalam,2004,498
Asia,South-Eastern Asia,Singapore,2004,1237
Asia,Southern Asia,India,2004,92490
Asia,Southern Asia,Sri Lanka,2004,17133
Asia,Western Asia,Armenia,2004,1930
Asia,Western Asia,Azerbaijan,2004,837
Asia,Western Asia,Cyprus,2004,3326
Asia,Western Asia,Georgia,2004,13683
Asia,Western Asia,Israel,2004,58471
Asia,Western Asia,Qatar,2004,403
Asia,Western Asia,State of Palestine,2004,113
Asia,Western Asia,Turkey,2004,72305
Asia,Western Asia,United Arab Emirates,2004,2153
Europe,Eastern Europe,Bulgaria,2004,25565
Europe,Eastern Europe,Czech Republic,2004,64695
Europe,Eastern Europe,Hungary,2004,44679
Europe,Eastern Europe,Poland,2004,266591
Europe,Eastern Europe,Republic of Moldova,2004,3247
Europe,Eastern Europe,Romania,2004,10002
Europe,Eastern Europe,Russian Federation,2004,291442
Europe,Eastern Europe,Slovakia,2004,26685
Europe,Northern Europe,Denmark,2004,90943
Europe,Northern Europe,Finland,2004,23300
Europe,Northern Europe,Iceland,2004,2769
Europe,Northern Europe,Ireland,2004,24913
Europe,Northern Europe,Latvia,2004,7548
Europe,Northern Europe,Norway,2004,27474
Europe,Northern Europe,Sweden,2004,119287
Europe,Northern Europe,United Kingdom (England and Wales),2004,680358
Europe,Northern Europe,United Kingdom (Northern Ireland),2004,14147
Europe,Northern Europe,United Kingdom (Scotland),2004,34959
Europe,Southern Europe,Croatia,2004,25922
Europe,Southern Europe,Greece,2004,26489
Europe,Southern Europe,Italy,2004,110887
Europe,Southern Europe,Malta,2004,782
Europe,Southern Europe,Montenegro,2004,2469
Europe,Southern Europe,Portugal,2004,46413
Europe,Southern Europe,Slovenia,2004,22460
Europe,Western Europe,Austria,2004,137270
Europe,Western Europe,Belgium,2004,86598
Europe,Western Europe,France,2004,388968
Europe,Western Europe,Germany,2004,443010
Europe,Western Europe,Liechtenstein,2004,130
Europe,Western Europe,Monaco,2004,121
Europe,Western Europe,Switzerland,2004,70370
Oceania,Australia and New Zealand,Australia,2004,308675
Oceania,Melanesia,Solomon Islands,2004,308
Africa,Eastern Africa,Kenya,2005,2863
Africa,Eastern Africa,Mauritius,2005,2488
Africa,Eastern Africa,Mozambique,2005,4886
Africa,Eastern Africa,Uganda,2005,6672
Africa,Eastern Africa,Zimbabwe,2005,53952
Africa,Northern Africa,Algeria,2005,9037
Africa,Northern Africa,Morocco,2005,2793
Americas,Caribbean,Barbados,2005,2107
Americas,Caribbean,Grenada,2005,996
Americas,Caribbean,St. Vincent and the Grenadines,2005,1492
Americas,Caribbean,Trinidad and Tobago,2005,4582
Americas,Central America,Belize,2005,1845
Americas,Central America,Guatemala,2005,1928
Americas,Central America,Mexico,2005,142640
Americas,Northern America,Canada,2005,261362
Americas,Northern America,United States of America,2005,2155448
Americas,South America,Chile,2005,103087
Americas,South America,Colombia,2005,21749
Americas,South America,Ecuador,2005,12094
Americas,South America,Paraguay,2005,819
Americas,South America,Peru,2005,6136
Asia,Central Asia,Kyrgyzstan,2005,1070
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2005,5492
Asia,Eastern Asia,Japan,2005,244776
Asia,South-Eastern Asia,Brunei Darussalam,2005,405
Asia,South-Eastern Asia,Malaysia,2005,24465
Asia,South-Eastern Asia,Singapore,2005,1465
Asia,Southern Asia,Bangladesh,2005,3252
Asia,Southern Asia,India,2005,90108
Asia,Southern Asia,Nepal,2005,40
Asia,Western Asia,Armenia,2005,1728
Asia,Western Asia,Azerbaijan,2005,222
Asia,Western Asia,Bahrain,2005,414
Asia,Western Asia,Cyprus,2005,2829
Asia,Western Asia,Georgia,2005,20268
Asia,Western Asia,Israel,2005,60270
Asia,Western Asia,State of Palestine,2005,111
Asia,Western Asia,Turkey,2005,108782
Europe,Eastern Europe,Belarus,2005,20048
Europe,Eastern Europe,Bulgaria,2005,22379
Europe,Eastern Europe,Czech Republic,2005,57956
Europe,Eastern Europe,Hungary,2005,42588
Europe,Eastern Europe,Poland,2005,221020
Europe,Eastern Europe,Republic of Moldova,2005,6072
Europe,Eastern Europe,Romania,2005,16764
Europe,Eastern Europe,Russian Federation,2005,308778
Europe,Eastern Europe,Slovakia,2005,20828
Europe,Northern Europe,Denmark,2005,76865
Europe,Northern Europe,Finland,2005,19531
Europe,Northern Europe,Iceland,2005,2244
Europe,Northern Europe,Ireland,2005,26381
Europe,Northern Europe,Latvia,2005,5108
Europe,Northern Europe,Norway,2005,25535
Europe,Northern Europe,Sweden,2005,113604
Europe,Northern Europe,United Kingdom (England and Wales),2005,645068
Europe,Northern Europe,United Kingdom (Northern Ireland),2005,12862
Europe,Northern Europe,United Kingdom (Scotland),2005,31319
Europe,Southern Europe,Albania,2005,199
Europe,Southern Europe,Bosnia and Herzegovina,2005,5006
Europe,Southern Europe,Croatia,2005,21114
Europe,Southern Europe,Greece,2005,37595
Europe,Southern Europe,Malta,2005,1618
Europe,Southern Europe,Montenegro,2005,2690
Europe,Southern Europe,Portugal,2005,45088
Europe,Southern Europe,Serbia,2005,16064
Europe,Southern Europe,Slovenia,2005,20252
Europe,Southern Europe,Spain,2005,396466
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,2005,8319
Europe,Western Europe,Austria,2005,115526
Europe,Western Europe,Belgium,2005,86408
Europe,Western Europe,France,2005,355343
Europe,Western Europe,Germany,2005,396125
Europe,Western Europe,Liechtenstein,2005,101
Europe,Western Europe,Monaco,2005,63
Europe,Western Europe,Netherlands,2005,307770
Europe,Western Europe,Switzerland,2005,61194
Oceania,Australia and New Zealand,Australia,2005,281994
Oceania,Australia and New Zealand,New Zealand,2005,57923
Oceania,Melanesia,Solomon Islands,2005,495
Africa,Eastern Africa,Kenya,2006,2069
Africa,Eastern Africa,Mauritius,2006,2352
Africa,Eastern Africa,Mozambique,2006,3968
Africa,Eastern Africa,Uganda,2006,15445
Africa,Eastern Africa,Zimbabwe,2006,48452
Africa,Northern Africa,Algeria,2006,8990
Africa,Northern Africa,Egypt,2006,529
Africa,Northern Africa,Morocco,2006,1984
Americas,Caribbean,Barbados,2006,2097
Americas,Caribbean,Grenada,2006,1024
Americas,Caribbean,Jamaica,2006,1301
Americas,Caribbean,St. Vincent and the Grenadines,2006,1301
Americas,Caribbean,Trinidad and Tobago,2006,4973
Americas,Central America,Belize,2006,1511
Americas,Central America,Costa Rica,2006,15474
Americas,Central America,Guatemala,2006,1628
Americas,Central America,Mexico,2006,154655
Americas,Central America,Panama,2006,2738
Americas,Northern America,Canada,2006,251361
Americas,Northern America,United States of America,2006,2194993
Americas,South America,Brazil,2006,248470
Americas,South America,Chile,2006,103490
Americas,South America,Colombia,2006,36583
Americas,South America,Ecuador,2006,14695
Americas,South America,Paraguay,2006,808
Americas,South America,Peru,2006,5415
Asia,Central Asia,Kazakhstan,2006,34827
Asia,Central Asia,Kyrgyzstan,2006,1050
Asia,Central Asia,Tajikistan,2006,683
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2006,5315
Asia,Eastern Asia,Japan,2006,205463
Asia,Eastern Asia,Mongolia,2006,4988
Asia,Eastern Asia,Republic of Korea,2006,84371
Asia,South-Eastern Asia,Brunei Darussalam,2006,550
Asia,South-Eastern Asia,Malaysia,2006,27313
Asia,South-Eastern Asia,Singapore,2006,1123
Asia,Southern Asia,Bangladesh,2006,3410
Asia,Southern Asia,India,2006,91666
Asia,Southern Asia,Nepal,2006,29
Asia,Western Asia,Armenia,2006,2047
Asia,Western Asia,Azerbaijan,2006,141
Asia,Western Asia,Bahrain,2006,393
Asia,Western Asia,Cyprus,2006,3068
Asia,Western Asia,Georgia,2006,32568
Asia,Western Asia,Israel,2006,57159
Asia,Western Asia,Turkey,2006,154388
Europe,Eastern Europe,Belarus,2006,30927
Europe,Eastern Europe,Bulgaria,2006,23460
Europe,Eastern Europe,Czech Republic,2006,53503
Europe,Eastern Europe,Hungary,2006,39620
Europe,Eastern Europe,Poland,2006,173762
Europe,Eastern Europe,Republic of Moldova,2006,3852
Europe,Eastern Europe,Romania,2006,17184
Europe,Eastern Europe,Russian Federation,2006,278379
Europe,Eastern Europe,Slovakia,2006,19044
Europe,Northern Europe,Denmark,2006,71583
Europe,Northern Europe,Finland,2006,18665
Europe,Northern Europe,Iceland,2006,2365
Europe,Northern Europe,Ireland,2006,24788
Europe,Northern Europe,Latvia,2006,3761
Europe,Northern Europe,Norway,2006,22674
Europe,Northern Europe,Sweden,2006,99718
Europe,Northern Europe,United Kingdom (England and Wales),2006,622012
Europe,Northern Europe,United Kingdom (Northern Ireland),2006,11451
Europe,Northern Europe,United Kingdom (Scotland),2006,30580
Europe,Southern Europe,Albania,2006,164
Europe,Southern Europe,Bosnia and Herzegovina,2006,4020
Europe,Southern Europe,Croatia,2006,20321
Europe,Southern Europe,Greece,2006,42069
Europe,Southern Europe,Malta,2006,1299
Europe,Southern Europe,Montenegro,2006,2287
Europe,Southern Europe,Portugal,2006,45480
Europe,Southern Europe,Serbia,2006,14853
Europe,Southern Europe,Slovenia,2006,18107
Europe,Southern Europe,Spain,2006,383023
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,2006,9055
Europe,Western Europe,Austria,2006,106032
Europe,Western Europe,Belgium,2006,93249
Europe,Western Europe,France,2006,346044
Europe,Western Europe,Germany,2006,387578
Europe,Western Europe,Liechtenstein,2006,138
Europe,Western Europe,Luxembourg,2006,2845
Europe,Western Europe,Monaco,2006,78
Europe,Western Europe,Netherlands,2006,300815
Europe,Western Europe,Switzerland,2006,56706
Oceania,Australia and New Zealand,Australia,2006,262005
Oceania,Australia and New Zealand,New Zealand,2006,61437
Oceania,Melanesia,Solomon Islands,2006,432
Africa,Eastern Africa,Kenya,2007,1767
Africa,Eastern Africa,Mauritius,2007,2650
Africa,Eastern Africa,Mozambique,2007,3642
Africa,Eastern Africa,Rwanda,2007,2270
Africa,Eastern Africa,Uganda,2007,8795
Africa,Eastern Africa,Zimbabwe,2007,40118
Africa,Northern Africa,Algeria,2007,7945
Africa,Northern Africa,Egypt,2007,631
Africa,Northern Africa,Morocco,2007,2417
Africa,Southern Africa,Lesotho,2007,4613
Africa,Western Africa,Cote d'Ivoire,2007,9253
Africa,Western Africa,Guinea,2007,1160
Africa,Western Africa,Nigeria,2007,5658
Africa,Western Africa,Sierra Leone,2007,634
Americas,Caribbean,Barbados,2007,1594
Americas,Caribbean,Grenada,2007,896
Americas,Caribbean,Jamaica,2007,1492
Americas,Caribbean,St. Vincent and the Grenadines,2007,1144
Americas,Caribbean,Trinidad and Tobago,2007,4958
Americas,Central America,Costa Rica,2007,14873
Americas,Central America,El Salvador,2007,453
Americas,Central America,Guatemala,2007,1442
Americas,Central America,Mexico,2007,162003
Americas,Central America,Panama,2007,2788
Americas,Northern America,Canada,2007,231520
Americas,Northern America,United States of America,2007,2190198
Americas,South America,Brazil,2007,377308
Americas,South America,Chile,2007,107379
Americas,South America,Colombia,2007,32824
