RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Kenya,2013,9
Africa,Eastern Africa,Uganda,2013,0
Africa,Western Africa,Guinea-Bissau,2013,0
Africa,Western Africa,Senegal,2013,0
Americas,Caribbean,Barbados,2013,0
Americas,Caribbean,Dominican Republic,2013,30
Americas,Central America,Guatemala,2013,3486
Americas,Central America,Honduras,2013,1359
Americas,Central America,Mexico,2013,0
Americas,Northern America,United States of America,2013,15700
Americas,South America,Chile,2013,339
Americas,South America,Colombia,2013,23483
Americas,South America,Ecuador,2013,0
Americas,South America,Guyana,2013,0
Asia,Eastern Asia,Mongolia,2013,0
Asia,South-Eastern Asia,Indonesia,2013,0
Asia,South-Eastern Asia,Singapore,2013,0
Asia,South-Eastern Asia,Thailand,2013,0
Asia,Western Asia,Armenia,2013,782
Asia,Western Asia,Azerbaijan,2013,0
Asia,Western Asia,Cyprus,2013,26
Asia,Western Asia,Lebanon,2013,0
Asia,Western Asia,Turkey,2013,7480
Europe,Eastern Europe,Bulgaria,2013,0
Europe,Eastern Europe,Czech Republic,2013,923
Europe,Eastern Europe,Hungary,2013,404
Europe,Eastern Europe,Poland,2013,11709
Europe,Eastern Europe,Romania,2013,0
Europe,Eastern Europe,Russian Federation,2013,42506
Europe,Eastern Europe,Slovakia,2013,123
Europe,Northern Europe,Denmark,2013,1504
Europe,Northern Europe,Finland,2013,3995
Europe,Northern Europe,Latvia,2013,0
Europe,Northern Europe,Lithuania,2013,1724
Europe,Northern Europe,Norway,2013,47
Europe,Northern Europe,Sweden,2013,2872
Europe,Northern Europe,United Kingdom (Scotland),2013,260
Europe,Southern Europe,Albania,2013,0
Europe,Southern Europe,Bosnia and Herzegovina,2013,0
Europe,Southern Europe,Croatia,2013,0
Europe,Southern Europe,Kosovo under UNSCR 1244,2013,273
Europe,Southern Europe,Montenegro,2013,0
Europe,Southern Europe,Portugal,2013,140
Europe,Southern Europe,Serbia,2013,2321
Africa,Eastern Africa,Kenya,2014,138
Africa,Eastern Africa,Uganda,2014,0
Africa,Western Africa,Guinea-Bissau,2014,0
Africa,Western Africa,Senegal,2014,0
Americas,Caribbean,Barbados,2014,0
Americas,Caribbean,Dominican Republic,2014,25
Americas,Central America,Guatemala,2014,3762
Americas,Central America,Honduras,2014,1489
Americas,Central America,Mexico,2014,0
Americas,Northern America,United States of America,2014,16200
Americas,South America,Chile,2014,232
Americas,South America,Colombia,2014,21884
Americas,South America,Ecuador,2014,0
Americas,South America,Guyana,2014,0
Asia,Eastern Asia,Mongolia,2014,0
Asia,South-Eastern Asia,Indonesia,2014,0
Asia,South-Eastern Asia,Singapore,2014,0
Asia,South-Eastern Asia,Thailand,2014,0
Asia,Western Asia,Armenia,2014,599
Asia,Western Asia,Azerbaijan,2014,0
Asia,Western Asia,Cyprus,2014,46
Asia,Western Asia,Lebanon,2014,0
Asia,Western Asia,Turkey,2014,7202
Europe,Eastern Europe,Bulgaria,2014,0
Europe,Eastern Europe,Czech Republic,2014,830
Europe,Eastern Europe,Hungary,2014,218
Europe,Eastern Europe,Poland,2014,9010
Europe,Eastern Europe,Romania,2014,0
Europe,Eastern Europe,Russian Federation,2014,32203
Europe,Eastern Europe,Slovakia,2014,134
Europe,Northern Europe,Denmark,2014,2576
Europe,Northern Europe,Finland,2014,3427
Europe,Northern Europe,Latvia,2014,0
Europe,Northern Europe,Lithuania,2014,1647
Europe,Northern Europe,Norway,2014,25
Europe,Northern Europe,Sweden,2014,2085
Europe,Northern Europe,United Kingdom (Scotland),2014,255
Europe,Southern Europe,Albania,2014,0
Europe,Southern Europe,Bosnia and Herzegovina,2014,0
Europe,Southern Europe,Croatia,2014,0
Europe,Southern Europe,Kosovo under UNSCR 1244,2014,273
Europe,Southern Europe,Montenegro,2014,0
Europe,Southern Europe,Portugal,2014,165
Europe,Southern Europe,Serbia,2014,1454
Africa,Eastern Africa,Kenya,2015,79
Africa,Eastern Africa,Uganda,2015,0
Africa,Western Africa,Guinea-Bissau,2015,0
Africa,Western Africa,Senegal,2015,0
Americas,Caribbean,Barbados,2015,0
Americas,Caribbean,Dominican Republic,2015,24
Americas,Central America,Guatemala,2015,5031
Americas,Central America,Honduras,2015,1286
Americas,Central America,Mexico,2015,0
Americas,Northern America,United States of America,2015,15900
Americas,South America,Chile,2015,262
