RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Burundi,2008,24
Africa,Eastern Africa,Burundi,2009,31
Africa,Eastern Africa,Burundi,2010,24
Africa,Eastern Africa,Burundi,2011,49
Africa,Eastern Africa,Burundi,2012,49
Africa,Eastern Africa,Burundi,2013,58
Africa,Eastern Africa,Burundi,2014,79
Africa,Eastern Africa,Kenya,2004,235
Africa,Eastern Africa,Kenya,2005,152
Africa,Eastern Africa,Kenya,2006,220
Africa,Eastern Africa,Kenya,2007,173
Africa,Eastern Africa,Kenya,2008,73
Africa,Eastern Africa,Kenya,2009,95
Africa,Eastern Africa,Kenya,2010,79
Africa,Eastern Africa,Kenya,2011,55
Africa,Eastern Africa,Kenya,2012,75
Africa,Eastern Africa,Kenya,2013,59
Africa,Eastern Africa,Kenya,2014,33
Africa,Eastern Africa,Kenya,2015,110
Africa,Eastern Africa,Madagascar,2010,0
Africa,Eastern Africa,Madagascar,2011,1
Africa,Eastern Africa,Madagascar,2012,1
Africa,Eastern Africa,Madagascar,2013,6
Africa,Eastern Africa,Madagascar,2014,14
Africa,Eastern Africa,Madagascar,2015,11
Africa,Eastern Africa,Mauritius,2009,34
Africa,Eastern Africa,Mauritius,2010,35
Africa,Eastern Africa,Mauritius,2011,50
Africa,Eastern Africa,Rwanda,2008,8
Africa,Eastern Africa,Rwanda,2009,8
Africa,Eastern Africa,Rwanda,2010,12
Africa,Eastern Africa,Rwanda,2011,12
Africa,Eastern Africa,Rwanda,2012,10
Africa,Eastern Africa,Rwanda,2013,21
Africa,Eastern Africa,Uganda,2007,54
Africa,Eastern Africa,Uganda,2008,65
Africa,Eastern Africa,Uganda,2009,202
Africa,Eastern Africa,Uganda,2010,150
Africa,Eastern Africa,Uganda,2011,167
Africa,Eastern Africa,Uganda,2012,132
Africa,Eastern Africa,Uganda,2013,333
Africa,Eastern Africa,Uganda,2014,223
Africa,Eastern Africa,Uganda,2016,938
Africa,Eastern Africa,United Republic of Tanzania,2010,0
Africa,Eastern Africa,United Republic of Tanzania,2011,0
Africa,Eastern Africa,United Republic of Tanzania,2012,0
Africa,Eastern Africa,United Republic of Tanzania,2013,0
Africa,Eastern Africa,United Republic of Tanzania,2014,0
Africa,Eastern Africa,United Republic of Tanzania,2015,0
