RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Burundi,2008,4009
Africa,Eastern Africa,Burundi,2009,4231
Africa,Eastern Africa,Burundi,2010,3039
Africa,Eastern Africa,Burundi,2011,4266
Africa,Eastern Africa,Burundi,2012,4246
Africa,Eastern Africa,Burundi,2013,4108
Africa,Eastern Africa,Burundi,2014,4495
Africa,Eastern Africa,Kenya,2004,7967
Africa,Eastern Africa,Kenya,2005,6936
Africa,Eastern Africa,Kenya,2006,5234
Africa,Eastern Africa,Kenya,2007,3492
Africa,Eastern Africa,Kenya,2008,3401
Africa,Eastern Africa,Kenya,2009,2938
Africa,Eastern Africa,Kenya,2010,2843
Africa,Eastern Africa,Kenya,2011,3262
Africa,Eastern Africa,Kenya,2012,3262
Africa,Eastern Africa,Kenya,2013,3551
Africa,Eastern Africa,Kenya,2014,3011
Africa,Eastern Africa,Kenya,2015,2865
Africa,Eastern Africa,Kenya,2016,2654
Africa,Eastern Africa,Kenya,2017,2713
Africa,Eastern Africa,Madagascar,2010,3131
Africa,Eastern Africa,Madagascar,2011,2272
Africa,Eastern Africa,Madagascar,2012,2192
Africa,Eastern Africa,Madagascar,2013,2819
Africa,Eastern Africa,Madagascar,2014,2165
Africa,Eastern Africa,Madagascar,2015,1741
Africa,Eastern Africa,Mauritius,2003,855
Africa,Eastern Africa,Mauritius,2004,1047
Africa,Eastern Africa,Mauritius,2005,1350
Africa,Eastern Africa,Mauritius,2006,1217
Africa,Eastern Africa,Mauritius,2007,1633
Africa,Eastern Africa,Mauritius,2008,1441
Africa,Eastern Africa,Mauritius,2009,1410
Africa,Eastern Africa,Mauritius,2010,1085
Africa,Eastern Africa,Mauritius,2011,814
Africa,Eastern Africa,Mozambique,2004,7534
Africa,Eastern Africa,Mozambique,2005,6826
Africa,Eastern Africa,Mozambique,2006,5543
Africa,Eastern Africa,Mozambique,2007,6008
Africa,Eastern Africa,Mozambique,2008,5744
Africa,Eastern Africa,Mozambique,2009,5267
Africa,Eastern Africa,Rwanda,2008,1753
Africa,Eastern Africa,Rwanda,2009,2103
Africa,Eastern Africa,Rwanda,2010,2072
Africa,Eastern Africa,Rwanda,2011,1766
Africa,Eastern Africa,Rwanda,2012,2617
Africa,Eastern Africa,Rwanda,2013,2772
Africa,Eastern Africa,Uganda,2003,3904
Africa,Eastern Africa,Uganda,2004,4919
Africa,Eastern Africa,Uganda,2005,7309
Africa,Eastern Africa,Uganda,2006,8167
Africa,Eastern Africa,Uganda,2007,5666
Africa,Eastern Africa,Uganda,2008,4258
Africa,Eastern Africa,Uganda,2009,7519
Africa,Eastern Africa,Uganda,2010,6025
Africa,Eastern Africa,Uganda,2011,4174
Africa,Eastern Africa,Uganda,2012,4194
Africa,Eastern Africa,Uganda,2013,3620
Africa,Eastern Africa,Uganda,2014,3644
Africa,Eastern Africa,Uganda,2016,7257
Africa,Eastern Africa,Uganda,2017,6850
Africa,Eastern Africa,United Republic of Tanzania,2010,11915
Africa,Eastern Africa,United Republic of Tanzania,2011,11834
Africa,Eastern Africa,United Republic of Tanzania,2012,11956
Africa,Eastern Africa,United Republic of Tanzania,2013,11020
Africa,Eastern Africa,United Republic of Tanzania,2014,10413
Africa,Eastern Africa,United Republic of Tanzania,2015,9389
Africa,Eastern Africa,Zimbabwe,2003,14028
Africa,Eastern Africa,Zimbabwe,2004,12666
Africa,Eastern Africa,Zimbabwe,2005,11146
Africa,Eastern Africa,Zimbabwe,2006,11654
Africa,Eastern Africa,Zimbabwe,2007,9274
Africa,Eastern Africa,Zimbabwe,2008,8796
Africa,Middle Africa,Cameroon,2009,10293
Africa,Middle Africa,Cameroon,2010,16419
Africa,Middle Africa,Cameroon,2011,17759
Africa,Middle Africa,Cameroon,2012,15752
Africa,Middle Africa,Cameroon,2013,25027
Africa,Middle Africa,Cameroon,2014,3690
Africa,Middle Africa,Cameroon,2015,4805
Africa,Middle Africa,Cameroon,2016,4211
Africa,Middle Africa,Cameroon,2017,4458
Africa,Middle Africa,Sao Tome and Principe,2006,0
Africa,Middle Africa,Sao Tome and Principe,2007,0
Africa,Middle Africa,Sao Tome and Principe,2008,0
Africa,Middle Africa,Sao Tome and Principe,2009,0
Africa,Middle Africa,Sao Tome and Principe,2010,1
Africa,Middle Africa,Sao Tome and Principe,2011,1
Africa,Northern Africa,Algeria,2005,25147
Africa,Northern Africa,Algeria,2006,21349
Africa,Northern Africa,Algeria,2007,20518
Africa,Northern Africa,Algeria,2008,20052
Africa,Northern Africa,Algeria,2009,19139
Africa,Northern Africa,Algeria,2010,18490
Africa,Northern Africa,Algeria,2011,19103
Africa,Northern Africa,Algeria,2012,10709
Africa,Northern Africa,Algeria,2013,17750
Africa,Northern Africa,Algeria,2014,21011
Africa,Northern Africa,Algeria,2015,26022
Africa,Northern Africa,Egypt,2003,337
Africa,Northern Africa,Egypt,2004,435
Africa,Northern Africa,Egypt,2005,435
Africa,Northern Africa,Egypt,2006,529
Africa,Northern Africa,Egypt,2007,631
Africa,Northern Africa,Egypt,2008,747
Africa,Northern Africa,Egypt,2009,732
Africa,Northern Africa,Egypt,2010,694
Africa,Northern Africa,Egypt,2011,2673
Africa,Northern Africa,Morocco,2003,16291
Africa,Northern Africa,Morocco,2004,15297
Africa,Northern Africa,Morocco,2005,15017
Africa,Northern Africa,Morocco,2006,21749
Africa,Northern Africa,Morocco,2007,22393
Africa,Northern Africa,Morocco,2008,23269
Africa,Northern Africa,Morocco,2009,25935
Africa,Northern Africa,Morocco,2013,14857
Africa,Northern Africa,Morocco,2015,19047
Africa,Northern Africa,Morocco,2016,18595
Africa,Northern Africa,Morocco,2017,48174
Africa,Northern Africa,Sudan,2008,3017
Africa,Southern Africa,Botswana,2009,3004
Africa,Southern Africa,Botswana,2010,2403
Africa,Southern Africa,Botswana,2011,2461
Africa,Southern Africa,Botswana,2014,1698
Africa,Southern Africa,Eswatini,2003,2723
Africa,Southern Africa,Eswatini,2004,3392
Africa,Southern Africa,Lesotho,2007,994
Africa,Southern Africa,Lesotho,2008,1080
Africa,Southern Africa,Lesotho,2009,1270
Africa,Southern Africa,South Africa,2014,183972
Africa,Southern Africa,South Africa,2015,186637
Africa,Southern Africa,South Africa,2016,194374
Africa,Southern Africa,South Africa,2017,189094
Africa,Western Africa,Benin,2017,182
Africa,Western Africa,Cabo Verde,2010,3074
Africa,Western Africa,Cabo Verde,2011,3165
Africa,Western Africa,Cabo Verde,2012,4418
Africa,Western Africa,Cabo Verde,2013,3874
Africa,Western Africa,Cabo Verde,2014,3908
Africa,Western Africa,Cabo Verde,2015,5472
Africa,Western Africa,Cote d'Ivoire,2007,666
Africa,Western Africa,Cote d'Ivoire,2008,591
Africa,Western Africa,Guinea,2007,151
Africa,Western Africa,Guinea-Bissau,2013,543
Africa,Western Africa,Guinea-Bissau,2014,712
Africa,Western Africa,Guinea-Bissau,2015,235
Africa,Western Africa,Guinea-Bissau,2016,362
Africa,Western Africa,Nigeria,2007,2327
Africa,Western Africa,Nigeria,2008,2340
Africa,Western Africa,Nigeria,2009,5909
Africa,Western Africa,Nigeria,2010,2240
Africa,Western Africa,Nigeria,2012,2988
Africa,Western Africa,Nigeria,2013,1910
Africa,Western Africa,Senegal,2005,2744
Africa,Western Africa,Senegal,2006,2601
Africa,Western Africa,Senegal,2007,1589
Africa,Western Africa,Senegal,2008,2699
Africa,Western Africa,Senegal,2009,2606
Africa,Western Africa,Senegal,2010,2503
Africa,Western Africa,Senegal,2015,2503
Africa,Western Africa,Sierra Leone,2007,167
Africa,Western Africa,Sierra Leone,2008,184
Americas,Caribbean,Bahamas,2009,316
Americas,Caribbean,Bahamas,2010,336
Americas,Caribbean,Bahamas,2011,369
Americas,Caribbean,Bahamas,2012,367
Americas,Caribbean,Bahamas,2014,1222
Americas,Caribbean,Bahamas,2015,1076
Americas,Caribbean,Bahamas,2016,913
Americas,Caribbean,Bahamas,2017,630
Americas,Caribbean,Barbados,2004,289
Americas,Caribbean,Barbados,2005,330
Americas,Caribbean,Barbados,2006,367
Americas,Caribbean,Barbados,2007,392
Americas,Caribbean,Barbados,2008,394
Americas,Caribbean,Barbados,2009,383
Americas,Caribbean,Barbados,2010,487
Americas,Caribbean,Barbados,2011,471
Americas,Caribbean,Barbados,2012,555
Americas,Caribbean,Barbados,2013,351
Americas,Caribbean,Barbados,2014,285
Americas,Caribbean,Barbados,2015,300
Americas,Caribbean,Barbados,2016,186
Americas,Caribbean,Dominican Republic,2012,2091
Americas,Caribbean,Dominican Republic,2014,7913
Americas,Caribbean,Dominican Republic,2015,7682
Americas,Caribbean,Dominican Republic,2016,6984
Americas,Caribbean,Grenada,2005,45
Americas,Caribbean,Grenada,2006,50
Americas,Caribbean,Grenada,2007,60
Americas,Caribbean,Grenada,2008,43
Americas,Caribbean,Grenada,2009,19
Americas,Caribbean,Grenada,2010,26
Americas,Caribbean,Grenada,2011,38
Americas,Caribbean,Grenada,2012,24
Americas,Caribbean,Grenada,2013,20
Americas,Caribbean,Grenada,2014,64
Americas,Caribbean,Grenada,2015,76
Americas,Caribbean,Grenada,2016,55
Americas,Caribbean,Grenada,2017,57
Americas,Caribbean,Jamaica,2006,2009
Americas,Caribbean,Jamaica,2007,1600
Americas,Caribbean,Jamaica,2008,2660
Americas,Caribbean,Jamaica,2009,3025
Americas,Caribbean,Jamaica,2010,2855
Americas,Caribbean,Jamaica,2011,3093
Americas,Caribbean,Jamaica,2012,2771
Americas,Caribbean,Jamaica,2013,2674
Americas,Caribbean,Jamaica,2014,2269
Americas,Caribbean,Jamaica,2015,1918
Americas,Caribbean,Jamaica,2016,1432
Americas,Caribbean,Jamaica,2017,1267
Americas,Caribbean,Puerto Rico,2008,5467
Americas,Caribbean,Puerto Rico,2009,6093
Americas,Caribbean,Puerto Rico,2010,6516
Americas,Caribbean,Puerto Rico,2011,6465
Americas,Caribbean,Puerto Rico,2012,6298
Americas,Caribbean,Puerto Rico,2013,6016
Americas,Caribbean,Puerto Rico,2014,5171
Americas,Caribbean,Puerto Rico,2015,4070
Americas,Caribbean,Puerto Rico,2016,3252
Americas,Caribbean,Puerto Rico,2017,2878
Americas,Caribbean,St. Kitts and Nevis,2009,108
Americas,Caribbean,St. Kitts and Nevis,2010,87
Americas,Caribbean,St. Kitts and Nevis,2011,66
Americas,Caribbean,St. Vincent and the Grenadines,2004,62
Americas,Caribbean,St. Vincent and the Grenadines,2005,73
Americas,Caribbean,St. Vincent and the Grenadines,2006,79
Americas,Caribbean,St. Vincent and the Grenadines,2007,56
Americas,Caribbean,St. Vincent and the Grenadines,2008,47
Americas,Caribbean,St. Vincent and the Grenadines,2009,68
Americas,Caribbean,St. Vincent and the Grenadines,2010,117
Americas,Caribbean,St. Vincent and the Grenadines,2011,170
Americas,Caribbean,St. Vincent and the Grenadines,2012,160
Americas,Caribbean,St. Vincent and the Grenadines,2013,149
Americas,Caribbean,St. Vincent and the Grenadines,2016,79
Americas,Caribbean,Trinidad and Tobago,2004,3885
Americas,Caribbean,Trinidad and Tobago,2005,4868
Americas,Caribbean,Trinidad and Tobago,2006,5633
Americas,Caribbean,Trinidad and Tobago,2007,4965
Americas,Caribbean,Trinidad and Tobago,2008,5043
Americas,Caribbean,Trinidad and Tobago,2009,6107
Americas,Caribbean,Trinidad and Tobago,2010,5123
Americas,Caribbean,Trinidad and Tobago,2011,3718
Americas,Caribbean,Trinidad and Tobago,2012,4436
Americas,Caribbean,Trinidad and Tobago,2013,2958
Americas,Caribbean,Trinidad and Tobago,2014,2672
Americas,Caribbean,Trinidad and Tobago,2015,2469
Americas,Central America,Belize,2005,667
Americas,Central America,Belize,2006,526
Americas,Central America,Belize,2009,545
Americas,Central America,Belize,2010,477
Americas,Central America,Belize,2011,447
Americas,Central America,Belize,2012,487
Americas,Central America,Belize,2013,296
Americas,Central America,Belize,2014,304
Americas,Central America,Belize,2015,214
Americas,Central America,Belize,2016,232
Americas,Central America,Costa Rica,2003,17457
Americas,Central America,Costa Rica,2004,19697
Americas,Central America,Costa Rica,2005,21285
Americas,Central America,Costa Rica,2006,40948
Americas,Central America,Costa Rica,2007,39688
Americas,Central America,Costa Rica,2008,43185
Americas,Central America,Costa Rica,2009,45545
Americas,Central America,Costa Rica,2010,43185
Americas,Central America,Costa Rica,2011,40427
Americas,Central America,Costa Rica,2013,47954
Americas,Central America,Costa Rica,2014,87954
Americas,Central America,Costa Rica,2015,81945
Americas,Central America,Costa Rica,2016,76363
Americas,Central America,Costa Rica,2017,78581
Americas,Central America,El Salvador,2005,4861
Americas,Central America,El Salvador,2006,5598
Americas,Central America,El Salvador,2007,5705
Americas,Central America,El Salvador,2008,5997
