RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Burundi,2008,437
Africa,Eastern Africa,Burundi,2009,496
Africa,Eastern Africa,Burundi,2010,304
Africa,Eastern Africa,Burundi,2011,499
Africa,Eastern Africa,Burundi,2012,455
Africa,Eastern Africa,Burundi,2013,431
Africa,Eastern Africa,Burundi,2014,549
Africa,Eastern Africa,Kenya,2005,12715
Africa,Eastern Africa,Kenya,2006,13186
Africa,Eastern Africa,Kenya,2007,12089
Africa,Eastern Africa,Kenya,2008,11479
Africa,Eastern Africa,Kenya,2009,14189
Africa,Eastern Africa,Kenya,2010,14078
Africa,Eastern Africa,Kenya,2011,14366
Africa,Eastern Africa,Kenya,2012,14534
Africa,Eastern Africa,Kenya,2013,13674
Africa,Eastern Africa,Kenya,2014,13949
Africa,Eastern Africa,Kenya,2015,14921
Africa,Eastern Africa,Kenya,2016,15705
Africa,Eastern Africa,Kenya,2017,15968
Africa,Eastern Africa,Madagascar,2010,3450
Africa,Eastern Africa,Madagascar,2011,3434
Africa,Eastern Africa,Madagascar,2012,2115
Africa,Eastern Africa,Madagascar,2013,2744
Africa,Eastern Africa,Madagascar,2014,2542
Africa,Eastern Africa,Madagascar,2015,2189
Africa,Eastern Africa,Mauritius,2003,105
Africa,Eastern Africa,Mauritius,2004,144
Africa,Eastern Africa,Mauritius,2005,122
Africa,Eastern Africa,Mauritius,2006,106
Africa,Eastern Africa,Mauritius,2007,140
Africa,Eastern Africa,Mauritius,2008,148
Africa,Eastern Africa,Mauritius,2009,274
Africa,Eastern Africa,Mauritius,2010,238
Africa,Eastern Africa,Mauritius,2011,230
Africa,Eastern Africa,Mozambique,2004,1350
Africa,Eastern Africa,Mozambique,2005,1272
Africa,Eastern Africa,Mozambique,2006,800
Africa,Eastern Africa,Mozambique,2007,724
Africa,Eastern Africa,Mozambique,2008,728
Africa,Eastern Africa,Mozambique,2009,526
Africa,Eastern Africa,Rwanda,2008,2249
Africa,Eastern Africa,Rwanda,2009,1985
