RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Mauritius,2003,11062
Africa,Eastern Africa,Uganda,2003,23513
Africa,Eastern Africa,Zimbabwe,2003,176648
Africa,Middle Africa,Cameroon,2003,11839
Africa,Northern Africa,Egypt,2003,30116
Africa,Northern Africa,Morocco,2003,69789
Africa,Southern Africa,Eswatini,2003,21535
Americas,Central America,Costa Rica,2003,6877
Americas,Northern America,Bermuda,2003,969
Americas,Northern America,Canada,2003,720021
Americas,Northern America,United States of America,2003,7026802
Americas,South America,Ecuador,2003,4277
Americas,South America,Peru,2003,58126
Americas,South America,Suriname,2003,14618
Americas,South America,Uruguay,2003,96606
Asia,Central Asia,Kyrgyzstan,2003,14383
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2003,40887
Asia,Eastern Asia,Mongolia,2003,8782
Asia,Eastern Asia,Republic of Korea,2003,187352
Asia,South-Eastern Asia,Brunei Darussalam,2003,898
Asia,South-Eastern Asia,Philippines,2003,9801
Asia,South-Eastern Asia,Singapore,2003,15086
Asia,Southern Asia,Iran (Islamic Republic of),2003,104746
Asia,Southern Asia,Sri Lanka,2003,23398
Asia,Western Asia,Armenia,2003,2831
Asia,Western Asia,Azerbaijan,2003,1820
Asia,Western Asia,Cyprus,2003,1504
Asia,Western Asia,Qatar,2003,754
Asia,Western Asia,State of Palestine,2003,3597
Asia,Western Asia,Syrian Arab Republic,2003,12349
Asia,Western Asia,Turkey,2003,66405
Asia,Western Asia,United Arab Emirates,2003,10802
Europe,Eastern Europe,Belarus,2003,74632
Europe,Eastern Europe,Bulgaria,2003,47148
Europe,Eastern Europe,Czech Republic,2003,141323
Europe,Eastern Europe,Hungary,2003,124782
Europe,Eastern Europe,Poland,2003,281852
Europe,Eastern Europe,Republic of Moldova,2003,14985
Europe,Eastern Europe,Romania,2003,58472
Europe,Eastern Europe,Slovakia,2003,28991
Europe,Eastern Europe,Ukraine,2003,264904
Europe,Northern Europe,Denmark,2003,186157
Europe,Northern Europe,Estonia,2003,34215
Europe,Northern Europe,Finland,2003,141372
Europe,Northern Europe,Iceland,2003,6398
Europe,Northern Europe,Ireland,2003,57870
Europe,Northern Europe,Latvia,2003,23397
Europe,Northern Europe,Lithuania,2003,29199
Europe,Northern Europe,Norway,2003,128162
Europe,Northern Europe,Sweden,2003,389088
Europe,Northern Europe,United Kingdom (England and Wales),2003,2250787
Europe,Northern Europe,United Kingdom (Northern Ireland),2003,30831
Europe,Northern Europe,United Kingdom (Scotland),2003,152123
Europe,Southern Europe,Croatia,2003,29976
Europe,Southern Europe,Greece,2003,68255
Europe,Southern Europe,Italy,2003,1328350
Europe,Southern Europe,Malta,2003,11004
Europe,Southern Europe,Montenegro,2003,1577
Europe,Southern Europe,Portugal,2003,103067
Europe,Southern Europe,Slovenia,2003,25673
Europe,Western Europe,Belgium,2003,225000
Europe,Western Europe,France,2003,835129
Europe,Western Europe,Germany,2003,2482447
